label,message
ham,Let's go for lunch?
ham,Call me when you're free.
ham,Let's go for lunch?
spam,Claim your cash prize now!
spam,Act now to get your reward!
spam,Claim your cash prize now!
ham,See you at 5 PM!
spam,"Verify your number to receive 1,000 EGP."
spam,"Limited offer, click here!"
ham,I will be late.
ham,Let's go for lunch?
spam,"Verify your number to receive 1,000 EGP."
spam,You have been selected for a free gift.
ham,Thank you for your help!
spam,Act now to get your reward!
spam,You’ve been chosen for a lucky draw.
ham,"Hi, how are you?"
spam,Act now to get your reward!
ham,Call me when you're free.
ham,Are we meeting today?
spam,URGENT! Your account has been compromised.
ham,Happy birthday!
spam,"Verify your number to receive 1,000 EGP."
ham,Don't forget to bring the files.
ham,"Hi, how are you?"
ham,Call me when you're free.
ham,Happy birthday!
ham,Happy birthday!
spam,"Limited offer, click here!"
spam,"Limited offer, click here!"
ham,"Hi, how are you?"
ham,Call me when you're free.
ham,Thank you for your help!
ham,"Hi, how are you?"
spam,Claim your cash prize now!
spam,"Limited offer, click here!"
spam,"Limited offer, click here!"
spam,"Verify your number to receive 1,000 EGP."
spam,"Exclusive deal for you, don’t miss out!"
ham,Call me when you're free.
ham,Let's go for lunch?
spam,Act now to get your reward!
ham,See you at 5 PM!
ham,Are we meeting today?
spam,Act now to get your reward!
spam,"Verify your number to receive 1,000 EGP."
ham,Don't forget to bring the files.
ham,Let's go for lunch?
spam,"Limited offer, click here!"
ham,I sent the report yesterday.
spam,Act now to get your reward!
spam,Claim your cash prize now!
ham,Don't forget to bring the files.
spam,You’ve been chosen for a lucky draw.
spam,"Exclusive deal for you, don’t miss out!"
ham,Are we meeting today?
spam,"Verify your number to receive 1,000 EGP."
ham,Let's go for lunch?
spam,Act now to get your reward!
ham,Are we meeting today?
spam,Claim your cash prize now!
ham,Thank you for your help!
ham,Call me when you're free.
ham,Don't forget to bring the files.
ham,I sent the report yesterday.
spam,You have been selected for a free gift.
ham,Happy birthday!
spam,Call this number now to win!
ham,Happy birthday!
spam,Act now to get your reward!
ham,"Hi, how are you?"
spam,Congratulations! You've won a free ticket.
spam,Call this number now to win!
ham,I will be late.
spam,Claim your cash prize now!
spam,You have been selected for a free gift.
ham,Let's go for lunch?
spam,"Limited offer, click here!"
spam,"Limited offer, click here!"
spam,"Limited offer, click here!"
ham,Are we meeting today?
ham,Happy birthday!
ham,Are we meeting today?
spam,URGENT! Your account has been compromised.
spam,"Exclusive deal for you, don’t miss out!"
ham,Happy birthday!
spam,"Exclusive deal for you, don’t miss out!"
ham,Thank you for your help!
spam,Call this number now to win!
ham,Thank you for your help!
ham,See you at 5 PM!
spam,"Verify your number to receive 1,000 EGP."
spam,Congratulations! You've won a free ticket.
ham,Thank you for your help!
ham,Happy birthday!
spam,Call this number now to win!
spam,Claim your cash prize now!
ham,Let's go for lunch?
ham,Let's go for lunch?
spam,Call this number now to win!
ham,See you at 5 PM!
ham,"Hi, how are you?"
spam,You’ve been chosen for a lucky draw.
spam,You’ve been chosen for a lucky draw.
spam,You’ve been chosen for a lucky draw.
spam,URGENT! Your account has been compromised.
ham,Thank you for your help!
ham,Are we meeting today?
spam,You have been selected for a free gift.
spam,Act now to get your reward!
spam,Act now to get your reward!
ham,Let's go for lunch?
spam,"Limited offer, click here!"
spam,Call this number now to win!
ham,Call me when you're free.
spam,URGENT! Your account has been compromised.
ham,Don't forget to bring the files.
ham,"Hi, how are you?"
spam,"Limited offer, click here!"
ham,"Hi, how are you?"
ham,I will be late.
spam,You’ve been chosen for a lucky draw.
spam,You’ve been chosen for a lucky draw.
spam,"Verify your number to receive 1,000 EGP."
ham,Thank you for your help!
ham,Call me when you're free.
spam,"Exclusive deal for you, don’t miss out!"
spam,Call this number now to win!
ham,See you at 5 PM!
ham,I sent the report yesterday.
